datetime,tokyo_price
2016-04-03,7.061875
2016-04-10,7.583363095238094
2016-04-17,7.936190476190476
2016-04-24,7.734077380952381
2016-05-01,10.593511904761906
2016-05-08,8.148839285714287
2016-05-15,8.199345238095239
2016-05-22,7.901934523809524
2016-05-29,9.09845238095238
2016-06-05,8.890416666666667
2016-06-12,8.837857142857143
2016-06-19,9.375059523809524
2016-06-26,10.119017857142856
2016-07-03,8.525863095238096
2016-07-10,10.373779761904762
2016-07-17,9.005386904761904
2016-07-24,8.61797619047619
2016-07-31,8.859434523809524
2016-08-07,9.751041666666666
2016-08-14,10.593660714285715
2016-08-21,8.925119047619049
2016-08-28,10.494553571428572
2016-09-04,10.004940476190475
2016-09-11,10.275833333333333
2016-09-18,9.040833333333333
2016-09-25,7.951815476190476
2016-10-02,9.019345238095237
2016-10-09,9.61157738095238
2016-10-16,7.424851190476191
2016-10-23,7.661785714285715
2016-10-30,7.858333333333333
2016-11-06,8.239880952380952
2016-11-13,9.744255952380954
2016-11-20,8.655565476190477
2016-11-27,9.940089285714285
2016-12-04,8.535595238095238
2016-12-11,9.039136904761905
2016-12-18,10.328839285714286
2016-12-25,8.890357142857143
2017-01-01,8.475624999999999
2017-01-08,8.744970238095238
2017-01-15,9.901964285714286
2017-01-22,11.679791666666667
2017-01-29,12.172470238095238
2017-02-05,10.396875
2017-02-12,11.583333333333334
2017-02-19,10.492142857142857
2017-02-26,10.480446428571428
2017-03-05,9.771011904761904
2017-03-12,10.13970238095238
2017-03-19,10.070833333333335
2017-03-26,9.55717261904762
2017-04-02,10.50232142857143
2017-04-09,10.566220238095237
2017-04-16,10.523184523809524
2017-04-23,9.521696428571428
2017-04-30,8.624761904761906
2017-05-07,8.323154761904762
2017-05-14,9.044196428571428
2017-05-21,8.974166666666667
2017-05-28,9.299107142857142
2017-06-04,9.046726190476189
2017-06-11,8.41889880952381
2017-06-18,8.184375
2017-06-25,9.065089285714285
2017-07-02,9.506904761904762
2017-07-09,10.669583333333334
2017-07-16,13.42532738095238
2017-07-23,13.336934523809523
2017-07-30,11.28404761904762
2017-08-06,10.265416666666667
2017-08-13,11.753988095238096
2017-08-20,8.320982142857142
2017-08-27,10.575178571428571
2017-09-03,9.557886904761904
2017-09-10,8.499642857142858
2017-09-17,9.031160714285713
2017-09-24,8.360416666666666
2017-10-01,8.18705357142857
2017-10-08,7.949464285714286
2017-10-15,9.79595238095238
2017-10-22,10.330416666666666
2017-10-29,7.98485119047619
2017-11-05,7.909315476190477
2017-11-12,7.99375
2017-11-19,8.449523809523809
2017-11-26,9.219077380952381
2017-12-03,8.681934523809524
2017-12-10,9.498809523809523
2017-12-17,10.383392857142857
2017-12-24,10.79029761904762
2017-12-31,10.095892857142857
2018-01-07,9.650714285714285
2018-01-14,10.210327380952382
2018-01-21,10.028869047619047
2018-01-28,15.363988095238096
2018-02-04,16.84330357142857
2018-02-11,17.19860119047619
2018-02-18,13.172321428571427
2018-02-25,13.266220238095238
2018-03-04,11.324345238095239
2018-03-11,11.003779761904761
2018-03-18,9.906369047619048
2018-03-25,10.002053571428572
2018-04-01,8.15345238095238
2018-04-08,8.234553571428572
2018-04-15,8.413065476190477
2018-04-22,8.366220238095238
2018-04-29,8.959642857142857
2018-05-06,8.709880952380953
2018-05-13,8.864642857142858
2018-05-20,8.611964285714285
2018-05-27,8.920089285714287
2018-06-03,9.25232142857143
2018-06-10,9.62732142857143
2018-06-17,9.648392857142857
2018-06-24,8.920029761904763
2018-07-01,10.124404761904762
2018-07-08,11.07922619047619
2018-07-15,11.022916666666665
2018-07-22,15.920267857142857
2018-07-29,16.43723214285714
2018-08-05,16.106458333333336
2018-08-12,13.832410714285713
2018-08-19,9.914255952380952
2018-08-26,14.854732142857141
2018-09-02,13.380386904761906
2018-09-09,12.188958333333334
2018-09-16,9.970654761904761
2018-09-23,10.08452380952381
2018-09-30,9.838482142857142
2018-10-07,10.43360119047619
2018-10-14,10.810773809523809
2018-10-21,10.788988095238095
2018-10-28,10.30032738095238
2018-11-04,10.363869047619048
2018-11-11,10.515863095238094
2018-11-18,10.236041666666667
2018-11-25,10.893184523809524
2018-12-02,10.498035714285715
2018-12-09,10.138988095238094
2018-12-16,12.615089285714285
2018-12-23,11.13482142857143
2018-12-30,10.608809523809523
2019-01-06,9.551785714285714
2019-01-13,11.05
2019-01-20,11.053333333333333
2019-01-27,11.661428571428571
2019-02-03,11.447946428571427
2019-02-10,11.140119047619047
2019-02-17,11.572916666666666
2019-02-24,9.724732142857144
2019-03-03,9.420267857142857
2019-03-10,9.92125
2019-03-17,9.662708333333333
2019-03-24,9.377291666666666
2019-03-31,9.760327380952381
2019-04-07,9.031279761904763
2019-04-14,15.712261904761904
2019-04-21,9.206785714285715
2019-04-28,9.917678571428572
2019-05-05,8.561815476190477
2019-05-12,8.266428571428571
2019-05-19,8.340238095238096
2019-05-26,8.775952380952381
2019-06-02,9.57982142857143
2019-06-09,8.818005952380952
2019-06-16,8.29047619047619
2019-06-23,8.772083333333333
2019-06-30,8.609255952380952
2019-07-07,7.616904761904762
2019-07-14,6.998571428571428
2019-07-21,7.681071428571429
2019-07-28,8.856279761904762
2019-08-04,15.447678571428572
2019-08-11,18.731785714285714
2019-08-18,10.122410714285715
2019-08-25,10.800386904761904
2019-09-01,8.690803571428571
2019-09-08,8.785773809523809
2019-09-15,13.054910714285715
2019-09-22,8.588184523809524
2019-09-29,8.945059523809524
2019-10-06,10.86404761904762
2019-10-13,9.20625
