datetime,tokyo_price
2016-04-03,9.380952380952381
2016-04-10,8.811333333333332
2016-04-17,9.627619047619048
2016-04-24,9.952666666666666
2016-05-01,16.52847619047619
2016-05-08,9.768571428571429
2016-05-15,11.499238095238097
2016-05-22,11.44095238095238
2016-05-29,14.038
2016-06-05,13.06352380952381
2016-06-12,13.458761904761905
2016-06-19,14.498095238095237
2016-06-26,16.120571428571427
2016-07-03,11.71352380952381
2016-07-10,16.72
2016-07-17,13.617619047619046
2016-07-24,12.692190476190477
2016-07-31,12.826
2016-08-07,15.475714285714286
2016-08-14,17.734571428571428
2016-08-21,12.730190476190478
2016-08-28,17.045238095238094
2016-09-04,16.239333333333335
2016-09-11,16.739619047619048
2016-09-18,13.49847619047619
2016-09-25,11.260190476190475
2016-10-02,13.76247619047619
2016-10-09,14.448
2016-10-16,9.426380952380953
2016-10-23,9.547619047619047
2016-10-30,9.975238095238096
2016-11-06,9.824952380952382
2016-11-13,13.145142857142858
2016-11-20,11.005142857142857
2016-11-27,14.71047619047619
2016-12-04,10.452
2016-12-11,10.151047619047619
2016-12-18,12.647904761904762
2016-12-25,10.356761904761905
2017-01-01,9.970190476190478
2017-01-08,9.439714285714285
2017-01-15,11.423619047619049
2017-01-22,14.899809523809523
2017-01-29,15.665238095238095
2017-02-05,11.615523809523811
2017-02-12,14.476761904761904
2017-02-19,11.600857142857143
2017-02-26,12.35857142857143
2017-03-05,10.964
2017-03-12,11.368761904761906
2017-03-19,11.298761904761905
2017-03-26,10.509809523809524
2017-04-02,11.716571428571429
2017-04-09,11.510190476190475
2017-04-16,12.296380952380954
2017-04-23,11.544952380952381
2017-04-30,9.135904761904762
2017-05-07,8.21247619047619
2017-05-14,10.234857142857143
2017-05-21,10.286857142857142
2017-05-28,11.505714285714285
2017-06-04,10.596666666666668
2017-06-11,9.352285714285715
2017-06-18,8.714095238095238
2017-06-25,10.398952380952382
2017-07-02,11.72495238095238
2017-07-09,14.404857142857143
2017-07-16,21.39847619047619
2017-07-23,21.771619047619048
2017-07-30,16.72514285714286
2017-08-06,13.854476190476191
2017-08-13,18.548190476190477
2017-08-20,9.437714285714286
2017-08-27,14.187333333333335
2017-09-03,12.967714285714285
2017-09-10,10.081047619047618
2017-09-17,11.283523809523809
